record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NE038,A rapid review of supports for neurodivergent students in higher education. Implications for research and practice,Almuth McDowall; Meg Kiseleva,2024,Neurodiversity,review_article,10.1177/27546330241291769,,https://doi.org/10.1177/27546330241291769,13,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE038,,,openalex-round2
R2NE039,The Impact of AI-Assisted Learning Tools on the Academic Performance of Students with Autism Spectrum Disorder (ASD),Pratibha Charisti; Rakesh Goyal,2025,International Journal For Multidisciplinary Research,journal,10.36948/ijfmr.2025.v07i03.45048,,https://doi.org/10.36948/ijfmr.2025.v07i03.45048,0,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE039,,,openalex-round2
R2NE040,Square Pegs and Round Holes: Pedagogy for Autistic Students in Computing Education,Selina Marianna Shah; Catherine Elliott; Prema Nedungadi,2024,IEEE Transactions on Education,journal,10.1109/te.2023.3335395,,https://doi.org/10.1109/te.2023.3335395,11,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE040,,,openalex-round2
R2NE041,NEURODIVERGENT LEARNING IN THE ADAPTIVE METAVERSE: BRIDGING SENSORY MODULATION AND SOCIAL COGNITION,Paulo Roberto Ramos; Ednaldo Ferreira Tôrres; Fabiana Pionório Tôrres; Thalyta Evans Barros Melo; Pedro Paulo da Cunha; Anne Luiza Duarte Batista Freire; Tatiana da Silva Gomes; Rodrigo Almeida Ferreira,2026,Revista Tópicos.,journal,10.70773/revistatopicos/774930525,,https://doi.org/10.70773/revistatopicos/774930525,0,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE041,,,openalex-round2
R2NE042,Neurodivergent by Design: Using AI to Honor and Support Learning Differences,Christina Costa,2025,IntechOpen eBooks,journal,10.5772/intechopen.1012983,,https://doi.org/10.5772/intechopen.1012983,0,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE042,,,openalex-round2
R2NE043,"Evidence of mutual non-verbal synchrony in learners with severe learning disability and autism, and their support workers: a motion energy analysis study",Devyn Glass; Nicola Yuill,2024,Frontiers in Integrative Neuroscience,journal,10.3389/fnint.2024.1353966,,https://doi.org/10.3389/fnint.2024.1353966,6,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE043,,,openalex-round2
R2NE044,A Systematic Literature Review of Research-based Interventions and Strategies for Students with Disabilities in STEM and STEAM Education,Jonathan Álvarez Ariza; Carola Hernández Hernández,2025,International Journal of Science and Mathematics Education,journal,10.1007/s10763-025-10544-z,,https://doi.org/10.1007/s10763-025-10544-z,12,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE044,,,openalex-round2
R2NE045,Taking Students on a Strengths Safari: A Multidimensional Pilot Study of School-Based Wellbeing for Young Neurodiverse Children,Lauren H. Naples; Elizabeth D. Tuckwiller,2021,International Journal of Environmental Research and Public Health,journal,10.3390/ijerph18136947,,https://doi.org/10.3390/ijerph18136947,12,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE045,,,openalex-round2
R2NA002,Adult Autism Research Priorities and Conceptualization in Computing Research: Invitation to Co-lead with Autistic Adults,Dafne Zuleima Morgado Ramírez; Giulia Barbareschi; Catherine Holloway,2024,ACM Transactions on Computer-Human Interaction,journal,10.1145/3635148,,https://doi.org/10.1145/3635148,10,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA002,,,openalex-round2
R2NA003,Recent Advances in AI for Inclusive Web Design: A Performance-Optimized Framework for Real-Time Accessibility Adaptations for Neurodivergent Users,Ashish Gautam; Suman Thapaliya,2025,Journal of Engineering Issues and Solutions,journal,10.3126/joeis.v4i1.81607,,https://doi.org/10.3126/joeis.v4i1.81607,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA003,,,openalex-round2
R2NA005,Integrating Neuroaesthetic Design into Brain-on-Chip Research: Toward Enhanced Neural Engagement and Cognitive Accessibility,Piper Hutson; James Hutson,2025,Current Research Bulletin,journal,10.55677/crb/i08-02-crb2025,,https://doi.org/10.55677/crb/i08-02-crb2025,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA005,,,openalex-round2
R2NA006,Exploring SAFe Framework Adoption for Autism-Centered Remote Engineering with Secure CI/CD and Containerized Microservices Deployment,Martina Ononiwu; Tony Isioma Azonuche; Paul Okugo Imoh; Joy Onma Enyejo,2023,International Journal of Scientific Research in Science and Technology,journal,10.32628/ijsrst2302542,,https://doi.org/10.32628/ijsrst2302542,11,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA006,,,openalex-round2
R2NA007,Designing Inclusive Hybrid Learning Using Eye-Tracking and Adaptive UX: A Neuroadaptive Framework,Alida Ntahonkiriye; Charles Ndikumana; Denise Mutoni,2025,Journal Emerging Technologies in Education,journal,10.70177/jete.v3i3.2233,,https://doi.org/10.70177/jete.v3i3.2233,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA007,,,openalex-round2
R2NA008,Exploring the integration of psychedelic-assisted therapy and digital mental health interventions in trauma recovery for underserved adults with high-functioning autism,Paul Okugo Imoh; Aderonke Ajiboye; Tahir Kolawole Balogun; Amina Catherine Ijiga; Toyosi Motilola Olola; Emmanuel Oluwasayomi Ahmadu,2025,Magna Scientia Advanced Research and Reviews,journal,10.30574/msarr.2025.14.1.0079,,https://doi.org/10.30574/msarr.2025.14.1.0079,5,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA008,,,openalex-round2
R2NA009,Assistive Technology for Adults on the Autism Spectrum: A Systematic Survey,Manhua Wang; Myounghoon Jeon,2023,International Journal of Human-Computer Interaction,journal,10.1080/10447318.2022.2163568,,https://doi.org/10.1080/10447318.2022.2163568,23,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA009,,,openalex-round2
R2NA010,WING: An Adaptive and Gamified Mobile Learning Platform for Neurodivergent Literacy,Mirella Emily Bezerra Santana; Cauã Otaviano Jordão; Vitória Karoline Justino dos Santos; Leonardo José Oliveira Ibiapina; Guilherme Silva; MANOELA MOREIRA CAVALCANTI; Lucas Rodrigues de Farias,2025,ArXiv.org,preprint,10.48550/arxiv.2512.16067,2512.16067,http://arxiv.org/abs/2512.16067,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA010,,,openalex-round2
R2NA011,The neurosociological paradigm of the metaverse,Olga Maslova; Natalia Shusharina; V. F. Pyatin,2025,Frontiers in Psychology,journal,10.3389/fpsyg.2024.1371876,,https://doi.org/10.3389/fpsyg.2024.1371876,5,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA011,,,openalex-round2
R2NA012,"Me, My Health, and My Watch: How Children with ADHD Understand Smartwatch Health Data",Elizabeth Ankrah; Franceli L. Cibrian; Lucas M. Silva; Arya Tavakoulnia; Jesús A. Beltrán; Sabrina Schuck; Kimberley D. Lakes; Gillian R. Hayes,2022,ACM Transactions on Computer-Human Interaction,journal,10.1145/3577008,,https://doi.org/10.1145/3577008,32,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA012,,,openalex-round2
R2NA013,"AI-driven adaptive learning platforms: Enhancing educational outcomes for students with special needs through user-centric, tailored digital tools",Ayobami O. Ayeni; Rodney E. Ovbiye; Ayomide S. Onayemi; Kayode E. Ojedele,2024,World Journal of Advanced Research and Reviews,journal,10.30574/wjarr.2024.22.3.0843,,https://doi.org/10.30574/wjarr.2024.22.3.0843,6,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA013,,,openalex-round2
R2NA014,Understanding Autistic Adults' Use of Social Media,Martine van Driel; John Vines; Belén Barros Pena; Nelya Koteyko,2023,Proceedings of the ACM on Human-Computer Interaction,journal,10.1145/3610048,,https://doi.org/10.1145/3610048,16,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA014,,,openalex-round2
R2NA015,Neurodiverse Education and Chatbots as Personalized Learning Tools: Opening the Research Agenda,Ujjal Mukherjee,2025,Journal of Informatics Education and Research,journal,10.52783/jier.v5i1.2065,,https://doi.org/10.52783/jier.v5i1.2065,3,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA015,,,openalex-round2
R2NA016,Beyond Compliance: A User-Autonomy Framework for Inclusive and Customizable Web Accessibility,A R Lalitha,2025,ArXiv.org,preprint,10.48550/arxiv.2506.10324,2506.10324,http://arxiv.org/abs/2506.10324,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA016,,,openalex-round2
R2NA017,Inclusive education with AI: supporting special needs and tackling language barriers,Ricardo Fitas,2025,AI and Ethics,journal,10.1007/s43681-025-00824-3,,https://doi.org/10.1007/s43681-025-00824-3,14,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA017,,,openalex-round2
R2NA018,"Examining Access and Inclusion in STEM Fields in Higher Education: Digital Learning Environments, Personalized Learning, and Institutional Change to Advance Educational Opportunity",Kimberly Cook-Chennault,2025,Education and human development,journal,10.5772/intechopen.1010267,,https://doi.org/10.5772/intechopen.1010267,2,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA018,,,openalex-round2
R2NA019,Multisite usability and safety trial of an immersive virtual reality implementation of a work organization system for autistic learners: implications for technology design,Gerardo Herrera; Lucía Vera; Patricia Pérez-Fuster; Arturo López-Fernández; Álvaro López; Ümit Savaş-Taşkesen; Nigel Newbutt,2024,Educational Technology Research and Development,journal,10.1007/s11423-024-10422-5,,https://doi.org/10.1007/s11423-024-10422-5,6,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA019,,,openalex-round2
R2NA021,"The Nexus of AR/VR, AI, UI/UX, and Robotics Technologies in Enhancing Learning and Social Interaction for Children with Autism Spectrum Disorders: A Systematic Review",Biplov Paneru,2024,arXiv (Cornell University),review_article,10.48550/arxiv.2409.18162,2409.18162,http://arxiv.org/abs/2409.18162,2,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA021,,,openalex-round2
R2NA022,Digital divides in nursing students: an exploration of the relationship between self-perceived digital competencies and digital barriers,Konstantina Martzoukou; Errol Sadullah Luders; Fiona Work; Πέτρος Κωσταγιόλας; Neil Johnson,2025,Journal of Documentation,journal,10.1108/jd-09-2024-0209,,https://doi.org/10.1108/jd-09-2024-0209,3,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA022,,,openalex-round2
